,text,target,target_new
34,Trading Journal As of 13 Sep 2019 Here is this weeks updateLong Positions Stopped OutSingtel SGSingtel Daily ChartTrade was entered at 323 and exited ,-0.6,0
35,Singtel Posts S103 billion in Q2 Profits Hit By Aussie Dollar Slump Join the discussion on  DigitalTransformation Telecommunications TelecompictwittercompyCbrC8FIr,0.6,1
36,free trials are what pro bono lawyers provide,0.2,1
37,im really so tired i want to focus on work and making money cause i cant wait to pay singtel and travel all around the world fuck everyone in singapore,-0.1,0
38,Hi there whats wrong Were here to help,-0.3,0
39,Singtel bloody fucking useless shit,-0.9,0
40,Whats wrong  Were here to help,-0.4,0
41,@Singtel why your service is so weakness,-0.6,0
42,Is it just me or singtel wifi s u c k s ,-0.6,0
43,Sitex is back in 2019 and it begins tomorrow on Black Friday Visitors are expected to have great deals from many big brands such as Aftershock Singtel MSI and PrismJoin us on Telegram for instant news ,0.8,1
44,Back to the Past and into the current countries trading with China huawei singtel ,0,1
45,Well done for Singtel Iot service winning the security awardA good way to see how automation and selfservice can increase security for iiot enabling connectivity from edge to cloud azure aws ,0.8,1
46,gdbye singtel,0,1
47,Sad to hear of this Can share how did you unsubscribe your CAST Addon via My Singtel app We are here to help,-0.6,0
48,Stop auto subscribing free tirals and start charging customer after that without notice you fucking piece of shit @Singtel @SingtelSupport,-0.9,0
49,Ok so I received a call from the Singtel CS ytd Was told that staff had tried calling my mothers line that is not in use since her replacement sim isnt here yet but nobody picked up for obvious reasons Ok fine CS told me that she had arranged for a delivery for the new,-0.8,0
50,100 Agree @Optus who are owned by a globally leading telecommunications company in @Singtel have been amazing since I switched from Telstra many years ago Their network caught up they have assigned a business team to handle my queries  they have sports politas ,0.8,1
51,Beyond the hype  our panel discussion is on achieving shifting and leading a practical approach to digital transformation with @Singtel @ATKearney and @jpwebb as moderater PLAPPC,0.6,1
52,@SingtelSupport Hey Singtel I would like to terminate my Cast subscription Can someone please assist I tried 1688 MyAccount Singtel App callback form and VisualMenu and THEY ALL DO NOT WORK,-0.9,0
53,Singtel Senior Infrastructure Proj ,0.1,1
54,Alright Update us later when they reply Well tweet you as well as soon as we have an update from our team Thanks,0.3,1
55,fyi ive also reached out to zoom in case this is an issue on their side,-0.2,0
56,Sorry to hear on your experience with the team Hope you will give them a chance In the meantime though allow me to escalate this issue with the relevant team Do stay tuned,-0.6,0
57,that is an awkward and unintuitive experience the team there did nothing to address my previous sms issue whereas someone on this channel helped me out with an actual investigation that seems to have resolved that issue not sure why i have to go back to that bad experience now,-0.8,0
58,hmmhave you tried reaching out to our GOMO chat colleagues via  so they can further check on this issue Do try and update us of the outcome,-0.4,0
59,no it doesnt work im on gomo not singtel directly my wifes phone on singtel doesnt have this issue,-0.8,0
60,Hi can try again We tried it on our phone connected to 4G and was able to open the page,0.2,1
61,Singtel provides solutions for transmission of news sports and entertainment via OTT satellite and fibre for content providers and global broadcastersTo learn more  For more information visit  or email smlead@singtelcompictwittercomlheLwPnMFk,0.7,1
62,FYI thats what my browser shows no issues when using wifi or surfing any other sitepictwittercomDFlXePhfV4,0.7,1
63,Hi unfortunately we are not able to waive it off,-0.7,0
64,How Going Cashless with Singtel Dash Helps Mamas  Helpers Alike ,0.6,1
65,antara starhub atau singtel bro,0.2,1
66,RT @ITEXPO RT rtehrani SDWANEXPO Savings End Soon C The only SDWAN vendors that matterFrontierBizAryakaNetworksSingtelIntelisysCorpHughesONadaptivnetworksFujitsuGlobalMartelloTechBECTechnologiesTalaritallacsd pictwittercom3RD0xs08Zd,-0.6,0
67,@SDWANEXPO Savings End Soon C The only SDWAN vendors that matter@FrontierBiz@AryakaNetworks@Singtel@IntelisysCorp@HughesON@adaptivnetworks@FujitsuGlobal@MartelloTech@BECTechnologies@Talari@tallacsdm@128technology@WindstreamBiz  morepictwittercomxhLKNMGoOq,-0.4,0
68,fuck u @ singtel for blocking pornhub I only have a 7 days vpn trial then its no more nofacegirl for me,-0.7,0
69,Was on a call with Singtel to deal with my phone data and ending up finding my plan has an issue Totally missed the moment that the boys won a daesang Congrats babiesIGOT7PROUDOFGOT7,-0.1,0
70,Singapore stocks to watch Wednesday OCBC SGX Hyflux ST Engineering Singtel Kimly JUMBO pictwittercomtfcCdcqH1I,0,1
71,My original qn still stands  am I able to get a fee waiver,0.3,1
72,Hi there sorry to learn of this Are you unable to detect connect your WiFi or currently facing intermittent connections,-0.8,0
73,Sure thing After the sequential reboot do perform a connectivity test by launching the My Singtel App  Select your Fibre Service  Connectivity Test  Yes Start Test Let us know of the results as well ,0.3,1
74,PS Every other brand out there please take note This is customer service I twitted about my weak Singtel connection and they twitted me back in less than an hour Fucking customer service goals Starhub and M1 are quaking,-0.6,0
75,sini adanya singtel m1 starhub ,0,1
76,Imagine charging 690 a month for an email address when gmail is free  only singtel,-0.6,0
77,Im at SingTel Shop in Singapore ,0.2,1
78,Dear Singtel my home wifi has been sucking balls lately Please get your shit together,-0.8,0
79,I grew up on a diet of Hitz Won so many contests on the cue to calls including a trip to Singapore to watch the SingTel Hello Concert featuring many big names and to meet pop group 911 in person  now Im located in Singapore but I still prefer the song selection on Hitz tbh,0.4,1
80,Hi there so sorry to learn of this Do allow us to share that the adjustments takes 12 billing cycles to be reflected in your bill Able to clarify if the adjustment was made more than 2 months ago,0.1,1
81,We hear your concerns on this and well definitely relay it to the relevant teams for their future reviews as well Seeking your kind understanding in the meantime Thank you,0.9,1
82,You may wish to visit  for more information on our Fair Usage Policy as well Hope this helps,0.6,1
83,BTW I think this is the case I see you limit to 64kBsec after just a couple of hundreds of MB So this plan is totally useless for any business purpose and and absolute waste of money,-0.9,0
84,SingTel got the worst customer service fix ur damn company,-0.9,0
85,sure thank you,0.2,1
86,Ahh glad the issue had been resolved Please do not hesitate to reach out to us again if you require any assistance Well be more than glad to assist you ,0.6,1
87,Thats great Stay vigilant to avoid falling for such scams You can reach out to us anytime if you require any clarifications in the future ,0.9,1
88,How much is the limit And how can I check if I hit the limitAnyway your fair usage policy means itll go down to 001MbitsecFor 25 SGDday I wouldnt call it fair to be honest,-0.7,0
89,Hmm allow us to also share that we do have a fair usage policy in place where by once the daily fair usage has exceeded a speed limit will be imposed without prior notification This speed limit will be lifted at0000 hours the following day We hope this clarifies,0,1
90,etle aama thi singtel banshe em  ,0.1,1
91,i have already settled it with a senior from the customer service agent that was quite fast and better,0.5,1
92,Thanks @SingtelPris its okay I immediately knew it was a fake call but wanted to keep him talking to see what the approach was  sadly I can see a lot of people falling for this rubbish,-0.7,0
93,Hi there Im afraid the call is not from Singtel  Weve previously released a statement here  to alert the public of this ongoing scam We strongly encourage to block the callers number via your devices settings as well Stay safe,-0.6,0
94,Unlimited daily plan also it does not depend on where I am In the same place where it was working this morning now its not,-0.8,0
95,Able to share with us the dataroaming plan youre currently subscribed to Also are you facing these speeds regardless of your location within your destination,0.9,1
96,We understand youve shared your details with us previously One of my colleagues will check on this further,0.4,1
97,Just had a lovely conversation with a chap from fake @Singtel who wanted to help me check who was connected to my internet Very polite called me Sir the whole time Took me through the process step by step right up until I told him to go get  scam scum,0,1
98,apn is correct if that was a problem then i wouldnt be able to access the internet at all i specifically mentioned dns to  not sure how much more specific i need to be,-0.7,0
99,Able to try checking the APN settings via your mobile device and ensure that the APN settings is reflecting hicard Do also restart your mobile device so we can isolate this further Let us know how it goes ,0.4,1
100,Hi Im still having this problem it works in the morning but then it goes down to 001Mbitsec If there is anything I can try please let me know,-0.6,0
101,singtel customer service is HORRIBLE,-0.9,0
102,Hello Sir  Maam @nsitharaman Why is indian government helping multinationals where foreign company like singtel and vodafone have major shareholding Why is government not helping indian economy companies like DHFL ILFS ILFS brand is difficult to make,-0.8,0
103,Singtel Credit Management Officer Agency Contract Sing ,0,1
104,Awat singtel lembab sangat harini ,0.4,1
105,4G only,-0.1,0
106,My strategy is to work from the bottom up When we activate purpose at this level thats when things start happening  Andrew Buay @Singtel csrconference19,0,1
107,Hi As the My Singtel App refreshes on a 60min interval we strongly encourage customers to monitor their data usage when nearing the limit You can also monitor your data usage via your devices settings to set a cap  switch off mobile data when reaching a certain usage,0.6,1
108,AA Reit inks fresh 12year master lease with Singtel Optus unit in Australia via The Business Times ,0.3,1
109,Is it a dirty word for corporations to be profitable while addressing social issues I say no Thats what makes it sustainable  Andrew Buay @Singtel csrconference19,-0.7,0
110,AA Reits JV inks new 12year lease with Singtel Optus unit ,0.5,1
111,singtel is fucking bullshiteverytime pay so much then keep asking to upgrade then the wifi still like shit,-0.9,0
112,whats Singtel,0.1,1
113,Hi there saw your tweet Were so sorry to learn of this and wed like to help Do perform a connectivity test by launching the My Singtel app  select your Fibre Service  select Connectivity Test  Yes start test Let us know the results,-0.2,0
114,SIMsingtelGoogle PlayiPhonesingtelSIMsingtelSIM,0,1
115,cant fkn wait for my singtel wifi plan to end and we can take on republic singtel wifi sucks big time paying for a 5g plan but not getting 5g ,-0.9,0
116,Singtel uh hais,-0.6,0
117,Singtel isit,0.1,1
118,kuota singtel 5GB 300k HAHAHA,-0.4,0
119,with the new PDPA law in Thailand GDPR equivalent it should be possible to opt out of this collection Will keep you guys posted,0.6,1
120,Have to sacrifice my half day for singtel lecehhhhhh,0,1
121,Indeed they have lots more than they need to and they are trying to trickHHHHHbribe customers to give even more AND monetise that even though their TCs say may,-0.5,0
122,If you are their customer you already provide mobile triangle location data In an area as Singapore I wont be surprised that they can see by that data if you are running I hope future mobile networks will be crowdsourced such as @thethingsntwrk IoT LoRa network,0,1
123,I changed from singtel to circles bc i kept exceeding my data limit,-0.4,0
124,Oh no wonder singtel still my fave hahaha,0.6,1
125,SingTel I want to really thank your customer service Ms Latha for her efficiency and commitment to customer Wh  ,0.6,1
126,Join me @ Singtel Recreation Club this Wednesday 6pm pictwittercomrmn9HKVqKd,0.1,1
127,@SundaySupp @Singtel @SkyFootball Great to watch the Sunday Supplement in Singapore on Mio Stadium channel,0.9,1
128,I guess Singtels obsession for covering everything no matter what has rubbed off on its Australian asset,-0.7,0
129,I for one would welcome our Singtel overlords,0.5,1
130,Singtel Groups Net Profit Slid 2 to SG954 in Q3 Customers Opt for HigherTier Plans Join the discussion on  DigitalTransformation Telecommunications TelecompictwittercomoLF6aAwfx6,0.2,1
131,SingtelSNS97 pictwittercom5M4WrxTaH5,0,1
132,Changing our wifi router to SingTel Bye Google wifi you have been great ,0.2,1
133,CWS SingTel Optus Pty Limited Singtel Optus Pty Limited Update for fiscal 2019 results Optus credit rating is a reflection of its solid business model coupled with parental support from SingTel  creditpictwittercomJtZ3EP4LCX,-0.3,0
134,Deutsche Telekom Orange Singtel  Telefnica Launch Go Ignite Telco Alliance for StartUps Join the discussion on  DigitalTransformation Telecommunications TelecompictwittercomRvWDO9Pkod,0.4,1
135,For the Singapore governments Productivity Solutions Grant PSG @Singtel has curated a range of cybersecurity solutions that will enhance the security of your businessSingtel DigitalTransformation DigiconAsia InfoSec EndpointSecurity ,0.8,1
136,For the Singapore governments Productivity Solutions Grant PSG @Singtel has curated a range of cybersecurity solutions that will enhance the security of your businessSingtel Cybersecurity CybersecAsia InfoSec Security EndpointSecurity ,0.8,1
137,Hi we wish to confirm that these calls are not from Singtel Please ignore such scam calls and do not disclose any personal details including passwords with unknown callers or click on random links from unknown numbers Thank you,-0.6,0
138,AA Reit inks 12year master lease with unit of Singtel Optus ,0.5,1
139,Thanks for the info Ive followed you  able to drop me a DM with the Registered Subscribers full name Singtel account number and contact details Well check on this further,0,1
140,Hi there saw your tweet I see that fits the description of the ongoing scam Generally calls from Singtel will show up as 1688 If ever in doubt you can also reach out to us to verify the authenticity of the call Stay safe,-0.3,0
141,Hi there saw your tweet We are concerned to learn that you are experiencing connectivity issues  Able to share if it still persists Do perform a Connectivity Test via the My Singtel App while logged in to your ONEPass account Do share the outcome of the test,-0.3,0
142, Launch your My Singtel App  Scroll down to select your Fibre service Perform a Connectivity Test  Click Yes Start Test Do let us know the result of the test We are here to help  22,0.2,1
143,Oh dear were sorry to learn of that  To help identify potential issues with your connection do download the My Singtel App and login to your ONEPass account Then follow these steps 12,-0.7,0
144,Singtel just called me with a robot and said my number will be discontinued in 2 hrs Im a circleslife user,-0.3,0
145,DBS upgrades Singtel to buy after associate Bharti Airtel announces imminent tariff hikes via The Business Times ,-0.1,0
146,2 more months and bye singtel ,0,1
147,Singtel internet can nvr be stable when travelling in a vehicle,-0.4,0
148,Why Singtel wifi so slow sia zzz,-0.8,0
149,Wtf is wrong with the WiFi man cmon Singtel,-0.9,0
150,Hi there may I clarify if you meant that you wish to opt out of our Singtel Promotional News Letter,0.2,1
151,singtel so slow for fuck,-0.7,0
152,Exactly my thoughts I tried for the singtel priority sale that time and vip was sold out damn fast then i didnt bother,-0.3,0
153,HELLO SINGTEL DO SOMETHING ABOUT YOUR INTERNET CAN ANOT,-0.2,0
154,Where should I start Did you read your own TsCs You WILL provide my data to 3rd parties You say may but I call it BS Just be the telco and do that one job And do it well,-0.8,0
155,Hi there sorry to learn of this Whats wrong ,-0.5,0
156,does this shitty singtel wifi connection applies to the others out there as well ,-0.8,0
157,No thank you @Singtel I dont trust you with any data pictwittercomo2iBtzJ3e5,-0.6,0
158,Oh ok most of them are the DHL and Singtel scam calls The rest loansharks,-0.6,0
159,im at some fancy singtel event and its super cold wtf,-0.6,0
160,Singtel ftw,0.2,1
161,But if I buy from Apple instead of @Singtel then they replace or fully refund within 14 days  And that too not just for faulty devices but even if I just changed my mind So there is really no reason to buy devices from @Singtel at allin fact its disadvantageous to do so,-0.5,0
162,Of course I did But Apple said that because it was purchased from @Singtel they cannot replace it only repair it Because Apple retail store did not receive any direct revenue from me they received revenue from @Singtel and so @Singtel is their customer,-0.3,0
163,Singtel Consultant IT Security Singapore S00 Singapore ,0,1
164,Singtel Engineering Officer Direct Contra ,0.1,1
165,Singtel Temp Executive Officer Singapore S00 SG ,0,1
166,Singtel Engineering Officer Direct Contract Singapore S00  ,0,1
167,I tried explaining to support person I spoke with that @Singtel is technically Apples customer when reselling devices and must have an SLA in place for manufacturing defects that enables @Singtel to return manufacturingdefect devices to Apple under normal warranty conditions,-0.8,0
168,So the moral of this episode isbuy from Apple and you get 14 days grace period to get a replacement or refund Buy from @Singtel and youre told not our problem you got unlucky with a faulty device sort it out yourself,-0.7,0
169,Gonna throw singtel out the fucking window fuck you useless piece of shit,-0.9,0
170,Actually Apple provides a 14day full refund or exchange even if you want to change the colour of the device  let alone manufacturing defects The main lesson for me was that one should not buy devices from SingTel because if theyre faulty tough luck customer Its on you,-0.9,0
171,is it just me or singtel 4G is slow tonight,-0.5,0
172,The heck is wrong with Singtel monile tonight,-0.7,0
173,so uM singtel sucks i couldnt wat h his whole live properly wo hving buffering eW,-0.9,0
174,Im afraid were unable to provide any 1to1 replacement of Apple devices as this is a policy set by the manufacturer as well We would strongly encourage visiting any Apple service centres for further assistance,-0.5,0
175,Device has manufacturing defects Screen has dark spots since day 3 of purchase Asked your support exec for a replacement but basically got told SingTel dont do replacements So basically you sell faulty handsets and leave the problem with your paying customers,-0.9,0
176,ab6ix is performing for starhub night of stars tomorrow and im under singtel i really wanna watch their performance,0.5,1
177,Who gave the green lights for the name Singtel circle pictwittercomu6W3cVYQGN,-0.1,0
178,Welp maybe its time to leave Singtel for good,0.5,1
179,3SIMSGSingtelTraveler100GB4G2500SIM,0,1
180,sadly im a singtel user,-0.2,0
181,@Singtel your Prestige Line was just cut off,-0.3,0
182,@Singtel your packages are getting worse It is not worth it to be part of your system Time to change Telco,-0.9,0
183,Sorry to hear that Able to share with us what sort of defects are you facing with your mobile device Also has the device been activated as well ie logged in with Apple ID etc,-0.4,0
184,Paano ako ma kaka nood ng MMKGabAndMax  yan wala na ako load sa singtel dash ko png net HubuhuMayWard sa MMK@maymayentrata07 @BarberEdward,-0.7,0
185,@SingtelSupport singtel website for tv products is brokenCant access info on the channels on any packs pictwittercomNuZnsIppWD,0,1
186,If you are a Singaporean gamer and want a better quality in internet speed choose @Singtel rather spend your money on @StarHub where they have lowest quality in internet starhub singtel,-0.3,0
187,@Singtel sucks  They sold me a faulty iPhone and when I took it back they effectively said tough sht get it repaired under warranty Apple said if I had bought from them I can return within 14 days even I didnt like the colour  Im moving off @Singtel,-0.9,0
188,Hi there we hear you on this We appreciate your feedback to us Well share this to the team for their future review Thank you,0.9,1
189,StarHub ch 509 Not sure for SingTel TV,0,1
190,@Singtel get NBA into mioTV,0,1
191,Trending SGX News  DBS upgrades Singtel to buy after associate Bharti Airtel announces imminent   ,-0.1,0
192, maybe its not telco problem my sis is using singtel but she encountered delay in receiving code too ,0,1
193,Hi there saw your tweet We are concerned to learn that you are experiencing connectivity issues  Able to share if it still persists And if so are you referring to home broadband or public Singtel WiFi,0,1
194,In addition allow me to share that the calls from Singtel will be made via 1688 If you are still uncertain you can always reach out to us at 1688 to verify the calls as well 22,0.2,1
195,Hi there thank you for reaching out to us We would like to confirm that this is definitely a scam and you may refer to  for the post we published previously with regards to this scam 12,-0.8,0
196,I received one When I quizzed him he got agressive ,0,1
197,Service Assurance Startup Moogsoft Raises 30M from Singtel  Others Join the discussion on  DigitalTransformation Telecommunications TelecompictwittercomhrjjOntbCV,-0.1,0
198,Bhartis tariff hikes in India could be boon for Singtel pictwittercomL035W0bQ4M,0,1
199,Singtel wifi can suck balls wtf,-0.8,0
200,these singtel advertisements are cracking me upi especially like the grandma one,0,1
201, Launch your My Singtel App  Scroll down to select your Fibre service Perform a Connectivity Test  Click Yes Start Test Do let us know the result of the test We are here to help  22,0.2,1
202,Oh dear were sorry to learn of that  To help identify potential issues with your connection do download the My Singtel App and login to your ONEPass account Then follow these steps 12,-0.7,0
203,the singtel mobile customer you have reached is not available,-0.4,0
204,Trending SGX News  Bhartis tariff hikes in India could be boon for Singtel This is expected   ,0,1
205,i miss my baby tembam so much fk singtel man my wifi is down and i cant call my baby at night at all ,-0.6,0
206,Hi there saw your tweet That fits the description of the ongoing scam Generally calls from Singtel will show up as 1688 If ever in doubt you can also reach out to us to verify the authenticity of the call Stay safe,-0.3,0
207,Thank you for sharing in depth on your concern Ive followed you Able to drop me a DM with the Registered Subscribers full name Singtel account number and contact details Well check on this further,0.6,1
208,So I just received a phone call from a random dude saying hes from Singtel and some hacker is using my acct and the internet for suspicious activity He kept blabbering I cut the line on him Like srsly dude Im on Starhub FFS these scammers rolls eyes,-0.7,0
209,proud of u singtel  pictwittercomxmHvSFoKXy,0.6,1
210,Brokers take DBS upgrades Singtel to buy on India associates mobile tariff hike  The Business Times,0,1
211,can ah but like i need proof of purchase for my premium account and is under singtel also which is with my parents,0.5,1
212,DBS upgrades Singtel to buy on proposed tariff hikes in IndiaRead more,0,1
213,Hi we are sorry to hear that Im sure the intention is not that but maybe to get your friends and family perhaps to take over the Singtel TV service instead of terminating it in order to avoid incurring penaltiesHope this clarifies,-0.2,0
214,Called in to terminate MIO TV long ass story and the @Singtel CSO actually asked me to go on social media Facebook to look for people to take over the contract If not there will be early termination feesLook for strangers ON SOCIAL MEDIA What,-0.7,0
215,@singaporepolice another number too 96423815,0,1
216,Its a daily menace so much so that I have stopped picking calls coming from those who are not in my Contact listYou fill one innocent looking survey form  BAM  Your life is ruined,-0.8,0
217,you can connect to singtel wifi,0.2,1
218,Singtel among 4 firms fined over thirdparty charges lapses in signup processes for mobile subscription services,-0.5,0
219,Well its call karma Singtel u better train ur sales to b professional We dun need this dun need tat U keep us is trial Which we told u dun need trial just ,-0.4,0
220,Bhartis tariff hikes in India could be boon for Singtel  singapore business italypictwittercomRbTONxMahN,0,1
221,Bhartis tariff hikes in India could be boon for Singtel  singapore business italypictwittercom6VJzMkskDy,0,1
222,Ok Thank you ,0.3,1
223,    Singtel   6GB1GB   ,0,1
224,@SingtelSupport I have taken a Singtel hiTourist SIM Card after landing It a good package Within SGD 30 100 GB data and calls but valid for only 12 days Is it possible to increase the validity by some more days around 15 days or extra also Please le me kn,0.6,1
225,Dear @SingaporePolice  heres the latest scam call this one pretending to be @Singtel  They are happening almost daily now Can nothing be done pictwittercomK82lTDFkN7,-0.9,0
226,Brokers take @DBSBank upgrades @Singtel to buy on India associates mobile tariff hike ,0,1
227,SingTel SGXZ74  DBS Research 20191122 Mobile Tariffs In India To Rise Sharply Upgrade to BUY SingTel Bharti  via @SGinvestors,0,1
228,Singtel among 4 firms fined over thirdparty charges lapses in signup processes for mobile subscription services ,-0.5,0
229,LOL received a spam call Some Indian woman say she is from Singtel Technical Service and asked me how is my Singtel internet connection When I said I dont even use Singtel she was like I know but ALL service providers in Singapore uses Singtel internet,-0.8,0
230,Singtel among four firms fined over thirdparty charges lapses in the signup processes for mobile subscription services ,-0.6,0
231,Hi there were sorry to learn of this Able to share if you are facing intermittent connectivity If so you may perform a connectivity test by launching the My Singtel app  Home  select your Fibre Service  Connectivity Test  Yes Start Test Let us know the results too,0.1,1
232,Bruh singtel wifi is down since last night How am i supposed to do my project,-0.4,0
233,Singtel Im thoroughly disappointed in you First your customer service said that a request has been sent in for the delivery of SIM card on the same day quote for them to apply the waiver itd be best for them to arrange a delivery instead of a pickup at the singtel shop,-0.8,0
234,Just dont do business thereThe Straits Times India to defer billions in spectrum fees to help ailing phone carriers like Singtels Airtel Vodafonevia @GoogleNews,-0.1,0
235,4g singtel sucks sial,-0.7,0
236,@acmeco Singtel is down,0,1
237,Singtel Singtel Singtel,0,1
238,New concert sponsored by Singtel  i want to go,0.7,1
239,Singtel is the best,0.8,1
240,@acmeco Is there an issue with the Singtel broadband in the West right now,0.1,1
241,Singtel help me please,0.1,1
242,My preferred telco when visiting singapore  Singtel,0.2,1
243,Singtel is love,0.7,1
244,Singtel coverage is really strong all the time,0.3,1
245,I love Singtel Broadband speeds,0.8,1
246,@acmeco Hey is there an issue with the Cast for Singtel or solved,0.1,1
247,Singtel prepaid plans are the best,0.8,1
248,Fuck singtel trash piece of shit go and fucking rot,-0.9,0
249,FUCKING KANNINA SINGTEL FUCKING STOP LOSING YOUR BLOODY CONNECTION ALL OF A SUDDEN CIBAI,-0.9,0
250,ATT joins cyber security group cofounded by Singtel   Business management   utilities gasutilities humanresource layoff,0,1
251,Singtel group has major mobile companies in each SEA emerging country I would like to add to the table PBTL  Bangladesh  45 stakeIntouch  Thailand  23 stake pictwittercom0qKteh5CSb,0,1
252,JSQUARED 50 Cashback on First Transaction with Zipster Singtel Dash ,0.3,1
253,Screw your wifi change to new one still slower than your previous router Go die la @Singtel,-0.6,0
254,not singtel only  other also same ,-0.2,0
255,Singtel wifi so cb nowadays hahaha,0.4,1
256,Some spammers obtained my email from Buca di Beppo Buca di Beppo obviously sold it to them because Buca di Beppo assured me that their system was at no point ever compromised,0,1
257,singtel called me up recentlyS may i ask if you are using any music streaming apps currentlyMe yes spotifyS oh good may i know how much youre paying every monthMe uh about 1S i see would you like to sign up for our current spotify promo,0.2,1
258,Lifecycle orchestrator could give operators the edge in enterprise 5G  TMFDigital cc @EricssonAPAC @Infosys @intel @HPETelco @VMware AIS @airtelnews @enjoyGLOBE @kddipr @Singtel @Optus @Telkomsel,-0.4,0
259,Singtel Q1 Net Profit Increases Marginally Supported by Growth in Mobile Data  CyberSecurity Services Join the discussion on  DigitalTransformation Telecommunications TelecompictwittercomxAY8yTYtjz,0.8,1
260,anybody else getting really shit singtel wifi connection rn because what the fuck is 18kbs,-0.8,0
261,Woman loses 300k to Singtel customer service caller helping her solve WiFi connectivity problem @straitstimes cybernews cybercrime ,-0.9,0
262,@Singtel why is your customer service so bad,-0.9,0
263,93504571 singtel 10,0,1
264,Will Singtel TV be streaming the FIFA Club World Cup where Liverpool are in it in December  @SingtelSupport,0,1
265,Singtel Ups Stake in AIS  Airtel Join the discussion on  DigitalTransformation Telecommunications TelecompictwittercomR1ymNwMsYd,0,1
266,Singtel powers up support for gaming and esports ,0.5,1
267,Already one month this issue happen still not fixed  Singtel no connection at all while Starhub only can run 1mbps speed For what i pay Rm158 if have this shitty coverage for roaming Please rectify ASAP,-0.9,0
268,Ill be watching that on Singtel,0.1,1
269,LMAO SINGTEL PARODYING FROZEN FOR THEIR AD EYE,-0.4,0
270,When a 3rd party app has no issue streaming while a app from Singtel keeps lagging ,-0.7,0
271,I just cant get over yesterday with my atuk  my cuz came and told us he just broke up  then atuk was like haa ape  Nak berak  cos he was like mumbling i also cannot hear what he say  Then he say skrg ni dah single then atuk was like  haa ape singtel  ,-0.9,0
272,Singtel or starhub Hmm,-0.3,0
273,Singtel11122,0,1
274,I already tried that still no internet What about SingTel,-0.6,0
275,India to defer billions in spectrum fees to help ailing phone carriers like Singtels Airtel Vodafone ,0,1
276,India to defer billions in spectrum fees to help ailing phone carriers like Singtels Airtel Vodafone ,0,1
277,Hi there were concerned to learn of this Are you still facing the same issue now If so do perform a sequential reboot by switching off the modem Optical Network Terminal ONT and turn them back on in reverse order with a 1 min interval between each device,-0.7,0
278,Cloud Security Startup Cato Networks Secures 30 million from Greylock Singtel Innov8  Others Join the discussion on  DigitalTransformation Telecommunications TelecompictwittercomI3EzHeFTR8,0.7,1
279,Hi Get up to 2 cashback when you make your 1sttransaction viaSingtelDash Sign up with this link now  443mgmDASHFV16JappserverdashcomsgmgmDASHFV16J TCs apply,0.3,1
280,JSQUARED 12 Cashback at Famous Amos Singtel Dash ,0.8,1
281,Thoughts on Whether Singtel Dividend Yield of 55 is Sustainable Singtel recently made history by posting a first quarter loss of S668 million for the second quarter This was a sharp reversal of a net profit of S667 million in the same quarter last pictwittercomzze5aH52nN,-0.5,0
282,oh my tian i cant even watch one 3 min video without singtel cutting up on me @Singtel please tell me why am i paying money for this pictwittercomqxRfSjVKpd,-0.8,0
283,Latest Singtel posts first quarterly loss of 668 million due to Bharti Airtel provision ,-0.2,0
284,My contract with Singtel gives me free subscription to HOOQ Cast and HBO Go for 2 years and 1 year for Apple TV Prob is if the expiries of all these free trials skip my mind Ill be charged heftily,0,1
285,my singtel wifi sucks big time i cant even load Instagram,-0.9,0
286,i remember when the likey mv got released i was opposite the obs hq in punggol so me and my friends ran after the bus and rushed our asses to singtel in waterway point to use their phones n wifi to watch it,-0.7,0
287,Hi Are you noticing if this is affecting a specific appactivity eg web browsing social media platforms video streaming etc Also have you tried toggling between 24Ghz and 5Ghz to see if the issue persists as well,-0.4,0
288,Yeap Singtel ajak gi camping dulu sia HAHAHAH,0.1,1
289,@Singtel my WiFi in Tanjong Rhu area is abysmally slow,-0.9,0
290,Not sure but can go singtel and check,0.2,1
291,whats singtel homo,-0.2,0
292,One mad half day has gone and Singtel data usage is already 400MB out of 4000MB I haveDo they have to rise so fastI dun think I use that much ,-0.7,0
293,At the IDEP @ SingTel pictwittercomQtl2Iu1a8R,0.2,1
294,Singtel being a stalker No I am not going to give you any of my personal information until you tell me why this happens in the first place pictwittercomK0tv4WO0Xx,-0.9,0
295,Doesnt look like under ownership for Bharti given Singtelpromoter stakes sit on top of 45 of institutional ownership,-0.7,0
296,SingTel Very frustrating to go through the automated options and then find out no option to speak to a real human  ,-0.9,0
297,Were today at the SingTel Industry Digital Enablement Platforms Event for the travel industry and Ill be speaking about travel audiences insights powered by location data from YOOSE  Locationbased advertising solutionslocationbasedmarketinglocat,0.4,1
298,Hi Has our chat agent attended to you Let us know well be right here,0.7,1
299,Singtel powers up support for gaming and esports pictwittercomDHXkdV3mSe,0.5,1
300,Singtel chooses Ericsson for 5G Center of Excellence Join the discussion on  DigitalTransformation Telecommunications Telecompictwittercom0DdHCFnp8o,0.9,1
301,wow your service is SO good @SingtelSupport @Singtel pictwittercomQ9p3WFYFxn,0.8,1
302,singtel auto subscribe me to dataroam unlimited because of that,0.1,1
303,sup singtel can you give me 1gbs wifi for free if i betray ur arch nemesis starhub,0,1
