,has_media,hashtags,img_urls,is_replied,is_reply_to,likes,links,parent_tweet_id,replies,reply_to_users,retweets,screen_name,text,text_html,timestamp,timestamp_epochs,tweet_id,tweet_url,user_id,username,video_url,label
54,FALSE,[],[],TRUE,TRUE,0,[],1.12E+18,1,"[{'screen_name': 'schaiera16089', 'user_id': '1534089098'}]",0,M1Singapore,"Aww, i think you are referring to a $200 deposit? May i know if you are holding an employment pass? - Hazel","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Aww, i think you are referring to a $200 deposit? May i know if you are holding an employment pass? - Hazel</p>",13-04-2019 14.38,1555166336,1.12E+18,/M1Singapore/status/1117074696598695936,1.10E+18,M1,,0
55,FALSE,[],[],TRUE,TRUE,0,[],1.12E+18,1,"[{'screen_name': 'M1Singapore', 'user_id': '1095247821647732738'}]",0,schaiera16089,"Ohh.. Because just now i went down to causeway point, they told me that i need to pay $200 for registration.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Ohh.. Because just now i went down to causeway point, they told me that i need to pay $200 for registration.</p>",13-04-2019 14.14,1555164896,1.12E+18,/schaiera16089/status/1117068654670045184,1534089098,schaiera,,0
56,FALSE,[],[],TRUE,FALSE,0,['https://www.m1.com.sg/personal/mobile/plans/mysim'],,1,[],0,M1Singapore,"@schaiera16089 mysim 3 plans are sim only plans you can refer to https://www.m1.com.sg/personal/mobile/plans/mysim …  for more info. BTW,  registration fee is waived if you sign up today! - Hazel ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1534089098"" dir=""ltr"" href=""/schaiera16089""><s>@</s><b>schaiera16089</b></a> mysim 3 plans are sim only plans you can refer to <a class=""twitter-timeline-link"" data-expanded-url=""https://www.m1.com.sg/personal/mobile/plans/mysim"" dir=""ltr"" href=""https://t.co/oibi9wXBgx"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.m1.com.sg/personal/mobile/plans/mysim""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">m1.com.sg/personal/mobil</span><span class=""invisible"">e/plans/mysim</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a>  for more info. BTW,  registration fee is waived if you sign up today! - Hazel <img alt=""🙂"" aria-label=""Emoji: Slightly smiling face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f642.png"" title=""Slightly smiling face""/></p>",13-04-2019 14.04,1555164278,1.12E+18,/M1Singapore/status/1117066062888153090,1.10E+18,M1,,0
57,FALSE,[],[],FALSE,FALSE,0,[],,0,[],0,billionstheory,"didnt know your customer service operators are a bunch of liars! @M1Singapore 
delivery of phone can be collected on behalf of someone else with an authorization form. (confimed by your customer service)
yet, your delivery guy insist on the actual person to be there.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">didnt know your customer service operators are a bunch of liars! <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1095247821647732738"" dir=""ltr"" href=""/M1Singapore""><s>@</s><b><strong>M1Singapore</strong></b></a> 
delivery of phone can be collected on behalf of someone else with an authorization form. (confimed by your customer service)
yet, your delivery guy insist on the actual person to be there.</p>",08-04-2019 11.06,1554721607,1.12E+18,/billionstheory/status/1115209368545284097,464481342,ᚹᚨᚱᚱᛁᛟᚱ÷,,0
58,TRUE,"['WheresWanda', 'M1ParisianAdventure', 'm1foryoupic']","['https://pbs.twimg.com/media/D3cWxeiUYAEvvzL.jpg', 'https://pbs.twimg.com/media/D3cWyCkUEAEgGad.jpg', 'https://pbs.twimg.com/media/D3cWyoLUwAAHMHB.jpg', 'https://pbs.twimg.com/media/D3cW4XUV4AANzoT.jpg']",FALSE,FALSE,2,[],,0,[],0,M1Singapore,"Congratulations to our 3 winners of the brand-new HUAWEI P30 Pro! They found Wanda, with her iconic orange hat all around Paris and came up with the most creative answers. #WheresWanda #M1ParisianAdventure #m1foryoupic.twitter.com/v9lWDNG9Z9","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Congratulations to our 3 winners of the brand-new HUAWEI P30 Pro! They found Wanda, with her iconic orange hat all around Paris and came up with the most creative answers. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/WheresWanda?src=hash""><s>#</s><b>WheresWanda</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/M1ParisianAdventure?src=hash""><s>#</s><b>M1ParisianAdventure</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/m1foryou?src=hash""><s>#</s><b>m1foryou</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/v9lWDNG9Z9"">pic.twitter.com/v9lWDNG9Z9</a></p>",06-04-2019 4.29,1554524969,1.11E+18,/M1Singapore/status/1114384606352953344,1.10E+18,M1,,1
59,FALSE,"['videostreaming', 'm1foryouhttps']",[],FALSE,FALSE,1,"['http://www.m1.com.sg/mysim', 'https://twitter.com/BusInsiderSG/status/1111166479217631232']",,0,[],0,M1Singapore,"""M1 comes in first for having the least streamed video interruptions..""
With M1, binge watch your favourite dramas on-the-go. Sign up now at http://www.m1.com.sg/mysim  or at any M1 Shop and Exclusive Distributor.
#videostreaming #m1foryouhttps://twitter.com/BusInsiderSG/status/1111166479217631232 …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">""M1 comes in first for having the least streamed video interruptions..""
With M1, binge watch your favourite dramas on-the-go. Sign up now at <a class=""twitter-timeline-link"" data-expanded-url=""http://www.m1.com.sg/mysim"" dir=""ltr"" href=""https://t.co/6w535yDS98"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.m1.com.sg/mysim""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">m1.com.sg/mysim</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> or at any M1 Shop and Exclusive Distributor.
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/videostreaming?src=hash""><s>#</s><b>videostreaming</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/m1foryou?src=hash""><s>#</s><b>m1foryou</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/BusInsiderSG/status/1111166479217631232"" dir=""ltr"" href=""https://t.co/P7QVZ5qdvL"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/BusInsiderSG/status/1111166479217631232""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/BusInsiderSG/s</span><span class=""invisible"">tatus/1111166479217631232</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",04-04-2019 11.00,1554375615,1.11E+18,/M1Singapore/status/1113758170038423552,1.10E+18,M1,,0
78,FALSE,[],[],FALSE,FALSE,0,[],,0,[],0,M1Singapore,"@fndiali Hi apennn, can we check if you are an existing M1 postpaid customer? - Rina","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""201659040"" dir=""ltr"" href=""/fndiali""><s>@</s><b>fndiali</b></a> Hi apennn, can we check if you are an existing M1 postpaid customer? - Rina</p>",12-03-2019 9.33,1552383226,1.11E+18,/M1Singapore/status/1105401488359202816,1.10E+18,M1,,1
79,TRUE,[],['https://pbs.twimg.com/media/D1RZJAPUwAEwmK0.jpg'],FALSE,FALSE,0,['https://bit.ly/2C8DgZ6'],,0,[],0,M1Singapore,"It’s the last day of ITSHOW 2019, but fret not! You can still win yourself Grab vouchers worth up to $500! Just tune in to our Facebook Live Stream at https://bit.ly/2C8DgZ6  at 2pm for your chance to win!pic.twitter.com/UdrgibIxNR","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">It’s the last day of ITSHOW 2019, but fret not! You can still win yourself Grab vouchers worth up to $500! Just tune in to our Facebook Live Stream at <a class=""twitter-timeline-link"" data-expanded-url=""https://bit.ly/2C8DgZ6"" dir=""ltr"" href=""https://t.co/HkrwBW9dHt"" rel=""nofollow noopener"" target=""_blank"" title=""https://bit.ly/2C8DgZ6""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">bit.ly/2C8DgZ6</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> at 2pm for your chance to win!<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/UdrgibIxNR"">pic.twitter.com/UdrgibIxNR</a></p>",10-03-2019 4.53,1552193607,1.10E+18,/M1Singapore/status/1104606165827112960,1.10E+18,M1,,0
80,FALSE,[],[],FALSE,TRUE,0,['https://twitter.com/messages/compose?recipient_id=1095247821647732738'],1.10E+18,0,"[{'screen_name': 'sylviang', 'user_id': '14440555'}]",0,M1Singapore,"Hi @sylviang, let's look into this issue together. Send us a DM, and let's get started. https://twitter.com/messages/compose?recipient_id=1095247821647732738 … - Liting","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hi <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""14440555"" dir=""ltr"" href=""/sylviang""><s>@</s><b>sylviang</b></a>, let's look into this issue together. Send us a DM, and let's get started. <a class=""twitter-timeline-link"" data-expanded-url=""https://twitter.com/messages/compose?recipient_id=1095247821647732738"" dir=""ltr"" href=""https://t.co/5UhrF45tus"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/messages/compose?recipient_id=1095247821647732738""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/messages/compo</span><span class=""invisible"">se?recipient_id=1095247821647732738</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> - Liting</p>",10-03-2019 2.28,1552184932,1.10E+18,/M1Singapore/status/1104569780802072576,1.10E+18,M1,,0
81,FALSE,['fail'],[],TRUE,FALSE,0,[],,1,[],0,sylviang,"@M1Singapore why should I pay for your inefficiencies in your system while other telco just require data roam to be turned off. Those tiny data leak roaming charges..and you said you can’t waive them off. Seriously? Being with m1 for >15 years, I should just switched telco. #fail","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1095247821647732738"" dir=""ltr"" href=""/M1Singapore""><s>@</s><b><strong>M1Singapore</strong></b></a> why should I pay for your inefficiencies in your system while other telco just require data roam to be turned off. Those tiny data leak roaming charges..and you said you can’t waive them off. Seriously? Being with m1 for &gt;15 years, I should just switched telco. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/fail?src=hash""><s>#</s><b>fail</b></a></p>",09-03-2019 13.28,1552138130,1.10E+18,/sylviang/status/1104373478034034689,14440555,Sylvia Ng 📷,,0
82,FALSE,[],[],FALSE,FALSE,3,"['http://www.m1.com.sg/mysim', 'https://twitter.com/hardwarezone/status/1103612291189219328']",,0,[],0,M1Singapore,"""The overall best deal here is M1's mySIM³ 20 plan, which gives you a massive 15GB data (3GB +12GB bonus)...""

Sign up for the best SIM-only deal now at http://www.m1.com.sg/mysim  or at any M1 Shop and Exclusive Distributor!https://twitter.com/hardwarezone/status/1103612291189219328 …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">""The overall best deal here is M1's mySIM³ 20 plan, which gives you a massive 15GB data (3GB +12GB bonus)...""

Sign up for the best SIM-only deal now at <a class=""twitter-timeline-link"" data-expanded-url=""http://www.m1.com.sg/mysim"" dir=""ltr"" href=""https://t.co/6w535yDS98"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.m1.com.sg/mysim""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">m1.com.sg/mysim</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> or at any M1 Shop and Exclusive Distributor!<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/hardwarezone/status/1103612291189219328"" dir=""ltr"" href=""https://t.co/kENQbGC6NX"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/hardwarezone/status/1103612291189219328""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/hardwarezone/s</span><span class=""invisible"">tatus/1103612291189219328</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",09-03-2019 9.27,1552123651,1.10E+18,/M1Singapore/status/1104312751244029953,1.10E+18,M1,,1
83,TRUE,[],['https://pbs.twimg.com/media/D1McsaPVAAA7AIl.jpg'],FALSE,FALSE,1,[],,0,[],0,M1Singapore,Look no further for the greatest deals! Make your way down to the M1 Booth at ITSHOW 2019 today to find out more!pic.twitter.com/DqWIiLNTIJ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Look no further for the greatest deals! Make your way down to the M1 Booth at ITSHOW 2019 today to find out more!<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/DqWIiLNTIJ"">pic.twitter.com/DqWIiLNTIJ</a></p>",09-03-2019 5.49,1552110591,1.10E+18,/M1Singapore/status/1104257971540770816,1.10E+18,M1,,1
84,FALSE,[],[],FALSE,TRUE,0,[],1.10E+18,0,"[{'screen_name': 'cryptoblock11', 'user_id': '895134220732858370'}]",0,M1Singapore,"Hi @cryptoblock11 , diverting your calls to a Singapore number can only be set-up while connected to M1 network. This function is currently not available while roaming. - James","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hi <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""895134220732858370"" dir=""ltr"" href=""/cryptoblock11""><s>@</s><b>cryptoblock11</b></a> , diverting your calls to a Singapore number can only be set-up while connected to M1 network. This function is currently not available while roaming. - James</p>",09-03-2019 4.26,1552105600,1.10E+18,/M1Singapore/status/1104237040860913669,1.10E+18,M1,,0
85,FALSE,[],[],TRUE,FALSE,0,[],,1,[],0,cryptoblock11,@M1Singapore why can’t I set up my voicemail from overseas also can’t set up a divert to a non Singapore number ????,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1095247821647732738"" dir=""ltr"" href=""/M1Singapore""><s>@</s><b><strong>M1Singapore</strong></b></a> why can’t I set up my voicemail from overseas also can’t set up a divert to a non Singapore number ????</p>",09-03-2019 3.49,1552103382,1.10E+18,/cryptoblock11/status/1104227735319261184,8.95E+17,Keith,,0
86,TRUE,[],['https://pbs.twimg.com/media/D1HH5r1V4AIgtxd.jpg'],FALSE,FALSE,3,['http://www.fb.com/m1limited'],,0,[],0,M1Singapore,"Great deals and free popcorn await you at the M1 Booth this ITSHOW 2019! Plus, tune in to our Facebook Live Stream at http://www.fb.com/m1limited  at 6pm to find out how to win Grab vouchers!pic.twitter.com/9EQSmmmrao","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Great deals and free popcorn await you at the M1 Booth this ITSHOW 2019! Plus, tune in to our Facebook Live Stream at <a class=""twitter-timeline-link"" data-expanded-url=""http://www.fb.com/m1limited"" dir=""ltr"" href=""https://t.co/05ziBE2rXe"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.fb.com/m1limited""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">fb.com/m1limited</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> at 6pm to find out how to win Grab vouchers!<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/9EQSmmmrao"">pic.twitter.com/9EQSmmmrao</a></p>",08-03-2019 5.00,1552021234,1.10E+18,/M1Singapore/status/1103883184058490881,1.10E+18,M1,,1
87,TRUE,[],['https://pbs.twimg.com/media/D1Cy_RAVYAAt6Fd.jpg'],FALSE,FALSE,0,['http://m1.sg'],,0,[],1,M1Singapore,"ITSHOW 2019 IS FINALLY HERE!
Make your way down to our M1 booth at Suntec Singapore Level 4, Hall 401/402, where spectacular M1 deals await! What’s more, follow us on our Twitter, Facebook (m1limited), Instagram (http://m1.sg ) page and enjoy free popcorn on us.pic.twitter.com/ofC3FgyPLR","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">ITSHOW 2019 IS FINALLY HERE!
Make your way down to our M1 booth at Suntec Singapore Level 4, Hall 401/402, where spectacular M1 deals await! What’s more, follow us on our Twitter, Facebook (m1limited), Instagram (<a class=""twitter-timeline-link"" data-expanded-url=""http://m1.sg"" dir=""ltr"" href=""https://t.co/sVB0aNGhZQ"" rel=""nofollow noopener"" target=""_blank"" title=""http://m1.sg""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">m1.sg</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a>) page and enjoy free popcorn on us.<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/ofC3FgyPLR"">pic.twitter.com/ofC3FgyPLR</a></p>",07-03-2019 8.50,1551948643,1.10E+18,/M1Singapore/status/1103578715164880896,1.10E+18,M1,,1
88,FALSE,[],[],FALSE,TRUE,1,['http://tinyurl.com/yyld2n8d'],1.10E+18,0,"[{'screen_name': 'ekettoz', 'user_id': '26467656'}]",0,M1Singapore,More information on our M Card available at our website http://tinyurl.com/yyld2n8d  . - Rina,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">More information on our M Card available at our website <a class=""twitter-timeline-link"" data-expanded-url=""http://tinyurl.com/yyld2n8d"" dir=""ltr"" href=""https://t.co/HlKc1fCXtS"" rel=""nofollow noopener"" target=""_blank"" title=""http://tinyurl.com/yyld2n8d""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">tinyurl.com/yyld2n8d</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> <img alt=""😉"" aria-label=""Emoji: Winking face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f609.png"" title=""Winking face""/>. - Rina</p>",07-03-2019 5.00,1551934812,1.10E+18,/M1Singapore/status/1103520701930242049,1.10E+18,M1,,1
89,FALSE,[],[],FALSE,TRUE,1,['https://www.singtel.com/personal/products-services/mobile/prepaid-plans'],1.10E+18,0,"[{'screen_name': 'ekettoz', 'user_id': '26467656'}, {'screen_name': 'SingtelSupport', 'user_id': '628070803'}]",0,Singtel_Zack,"HI there, you may check out our Prepaid services via this link https://www.singtel.com/personal/products-services/mobile/prepaid-plans … for more information. :)","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">HI there, you may check out our Prepaid services via this link <a class=""twitter-timeline-link"" data-expanded-url=""https://www.singtel.com/personal/products-services/mobile/prepaid-plans"" dir=""ltr"" href=""https://t.co/EU9P173i9t"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.singtel.com/personal/products-services/mobile/prepaid-plans""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">singtel.com/personal/produ</span><span class=""invisible"">cts-services/mobile/prepaid-plans</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> for more information. :)</p>",07-03-2019 4.54,1551934494,1.10E+18,/Singtel_Zack/status/1103519367273304065,7.56E+17,Zack,,1
90,FALSE,"['singapore', 'mobile', 'telco', 'tourist']",[],TRUE,FALSE,0,['https://docs.google.com/spreadsheets/d/10kZcofxd30mIV3KPJEcVWZm6VFjrVrVMH1ZWGopBClg/edit?usp=sharing'],,3,[],0,ekettoz,Visiting #singapore and wondering which temporary prepaid mobile card to get? Check: https://docs.google.com/spreadsheets/d/10kZcofxd30mIV3KPJEcVWZm6VFjrVrVMH1ZWGopBClg/edit?usp=sharing … #mobile #telco #tourist @SingtelSupport @StarHubCares @M1Singapore,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Visiting <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/singapore?src=hash""><s>#</s><b>singapore</b></a> and wondering which temporary prepaid mobile card to get? Check: <a class=""twitter-timeline-link"" data-expanded-url=""https://docs.google.com/spreadsheets/d/10kZcofxd30mIV3KPJEcVWZm6VFjrVrVMH1ZWGopBClg/edit?usp=sharing"" dir=""ltr"" href=""https://t.co/slgxpjNU7P"" rel=""nofollow noopener"" target=""_blank"" title=""https://docs.google.com/spreadsheets/d/10kZcofxd30mIV3KPJEcVWZm6VFjrVrVMH1ZWGopBClg/edit?usp=sharing""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">docs.google.com/spreadsheets/d</span><span class=""invisible"">/10kZcofxd30mIV3KPJEcVWZm6VFjrVrVMH1ZWGopBClg/edit?usp=sharing</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/mobile?src=hash""><s>#</s><b>mobile</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/telco?src=hash""><s>#</s><b>telco</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/tourist?src=hash""><s>#</s><b>tourist</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""628070803"" dir=""ltr"" href=""/SingtelSupport""><s>@</s><b>SingtelSupport</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20901447"" dir=""ltr"" href=""/StarHubCares""><s>@</s><b>StarHubCares</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1095247821647732738"" dir=""ltr"" href=""/M1Singapore""><s>@</s><b><strong>M1Singapore</strong></b></a></p>",07-03-2019 3.02,1551927751,1.10E+18,/ekettoz/status/1103491088201863168,26467656,Tom Pennings,,0
91,TRUE,[],['https://pbs.twimg.com/media/D1BEcsXU4AI0Vmv.jpg'],FALSE,FALSE,3,[],,0,[],0,M1Singapore,"[NOTICE]
Pls be informed that your data roaming service in Indonesia’s Bali Province will be affected from 7 Mar 19, 6am (SGT) to 8 Mar 2019, 6am (SGT) in conjunction with Nyepi Day. 

Only data / internet service will be affected; Voice and SMS service will not be affected.pic.twitter.com/xhAuY2KdtT","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">[NOTICE]
Pls be informed that your data roaming service in Indonesia’s Bali Province will be affected from 7 Mar 19, 6am (SGT) to 8 Mar 2019, 6am (SGT) in conjunction with Nyepi Day. 

Only data / internet service will be affected; Voice and SMS service will not be affected.<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/xhAuY2KdtT"">pic.twitter.com/xhAuY2KdtT</a></p>",07-03-2019 0.52,1551919930,1.10E+18,/M1Singapore/status/1103458283224879105,1.10E+18,M1,,0
92,FALSE,['M1Singapore'],[],FALSE,FALSE,0,[],,0,[],0,ritsjoey,"Hey #M1Singapore, any cool deals at the IT show this month!?","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hey <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/M1Singapore?src=hash""><s>#</s><b><strong>M1Singapore</strong></b></a>, any cool deals at the IT show this month!?</p>",06-03-2019 7.16,1551856610,1.10E+18,/ritsjoey/status/1103192699790811136,27395059,Ritesh Sharma,,1
93,TRUE,[],['https://pbs.twimg.com/media/D08no1AV4AA1Zkl.jpg'],FALSE,FALSE,0,['http://www.fb.com/m1limited'],,0,[],0,M1Singapore,"Don’t miss out on your chance to win up to $2,000 worth of Grab vouchers at ITSHOW 2019! All you have to do is tune in to our daily Facebook Live Streams at http://www.fb.com/m1limited  from 7-10 March!

LIVE STREAM TIMINGS:
7 and 8 March - 6pm
9 and 10 March - 2pmpic.twitter.com/PAzFSsIz4k","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Don’t miss out on your chance to win up to $2,000 worth of Grab vouchers at ITSHOW 2019! All you have to do is tune in to our daily Facebook Live Streams at <a class=""twitter-timeline-link"" data-expanded-url=""http://www.fb.com/m1limited"" dir=""ltr"" href=""https://t.co/05ziBE2rXe"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.fb.com/m1limited""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">fb.com/m1limited</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> from 7-10 March!

LIVE STREAM TIMINGS:
7 and 8 March - 6pm
9 and 10 March - 2pm<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/PAzFSsIz4k"">pic.twitter.com/PAzFSsIz4k</a></p>",06-03-2019 4.03,1551845005,1.10E+18,/M1Singapore/status/1103144023605239808,1.10E+18,M1,,0
94,FALSE,[],[],FALSE,TRUE,0,[],1.10E+18,0,"[{'screen_name': 'aimanjefree', 'user_id': '95720122'}, {'screen_name': 'Singtel', 'user_id': '16678443'}, {'screen_name': 'M1Singapore', 'user_id': '1095247821647732738'}]",0,SingtelSupport,"Hi there, we're concerned to learn about this :/ We'd like to look further into this to assist you with regards to the bills. I've given you a follow, do drop me a DM with the Registered subscriber's full name, NRIC and mobile number. - Bel","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hi there, we're concerned to learn about this :/ We'd like to look further into this to assist you with regards to the bills. I've given you a follow, do drop me a DM with the Registered subscriber's full name, NRIC and mobile number. - Bel</p>",27-02-2019 1.16,1551230176,1.10E+18,/SingtelSupport/status/1100565242692526080,628070803,Singtel Support,,1
112,FALSE,[],[],TRUE,TRUE,0,[],1.21E+18,1,"[{'screen_name': 'samjoss007', 'user_id': '100670113'}]",0,M1Singapore,We are trying to reply to you through direct message. Please follow us on twitter so that our direct messages reach you.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">We are trying to reply to you through direct message. Please follow us on twitter so that our direct messages reach you.</p>",30-12-2019 5.49,1577684946,1.21E+18,/M1Singapore/status/1211524591019085827,1.10E+18,M1,,0
113,FALSE,[],[],TRUE,FALSE,0,[],,1,[],0,samjoss007,"@M1Singapore pls DM me as I don't want to auto renew my Telco contract with you, tx","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1095247821647732738"" dir=""ltr"" href=""/M1Singapore""><s>@</s><b><strong>M1Singapore</strong></b></a> pls DM me as I don't want to auto renew my Telco contract with you, tx</p>",30-12-2019 5.35,1577684128,1.21E+18,/samjoss007/status/1211521159381958656,100670113,SDJ,,0
